City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Hithadhoo,3,MV,1584112757,65,-0.6,73.08,84.29,8.52
Teya,100,RU,1584113036,89,60.38,92.63,31.55,8.34
Lebu,67,CL,1584113502,90,-37.62,-73.65,64.31,4.41
Castro,0,BR,1584113017,37,-24.79,-50.01,81.95,4.79
Kaitangata,0,NZ,1584113502,87,-46.28,169.85,50.0,7.65
Bambous Virieux,75,MU,1584113038,100,-20.34,57.76,73.4,19.8
Bathsheba,40,BB,1584113603,58,13.22,-59.52,86.0,19.46
Talnakh,90,RU,1584113604,92,69.49,88.4,21.2,40.26
Sikonge,75,TZ,1584113503,83,-5.63,32.77,73.4,17.22
Araouane,0,ML,1584113503,5,18.9,-3.53,93.29,6.96
Mabaruma,96,GY,1584113503,64,8.2,-59.78,83.57,3.76
Tura,73,IN,1584113503,34,25.52,90.22,76.91,5.26
Benghazi,0,LY,1584113503,70,32.12,20.07,63.23,16.15
Avarua,55,CK,1584113503,83,-21.21,-159.78,78.8,3.36
Zhanakorgan,88,KZ,1584113504,32,43.91,67.25,50.63,7.27
Mahébourg,75,MU,1584113206,100,-20.41,57.7,73.4,11.95
Kapaa,40,US,1584113099,88,22.08,-159.32,71.6,6.93
Dikson,100,RU,1584113605,92,73.51,80.55,18.05,27.09
Ponta do Sol,40,PT,1584113598,67,32.67,-17.1,66.99,13.87
Clyde River,75,CA,1584113014,68,70.47,-68.59,-16.6,14.99
Anadyr,100,RU,1584113504,79,64.75,177.48,24.8,13.42
Newport,51,GB,1584113505,66,51.59,-3.0,54.0,8.05
Shitanjing,0,CN,1584113046,17,39.23,106.34,30.99,1.99
Faanui,20,PF,1584113042,80,-16.48,-151.75,82.49,13.18
Lethem,99,GY,1584113040,40,3.38,-59.8,93.65,15.79
Laas,20,IT,1584113505,36,46.62,10.7,68.0,6.93
Pevek,100,RU,1584113016,91,69.7,170.31,1.31,6.98
Bluff,11,NZ,1584113107,91,-46.6,168.33,51.01,1.01
Galveston,90,US,1584113380,78,29.37,-94.97,75.0,8.05
Hofn,75,IS,1584113230,72,64.25,-15.21,35.6,4.7
Yellowknife,20,CA,1584113396,74,62.46,-114.35,-18.0,5.82
Norman Wells,40,CA,1584113018,75,65.28,-126.83,-14.8,8.05
Wanning,0,CN,1584113506,92,18.8,110.4,75.47,6.6
College,90,US,1584113507,84,64.86,-147.8,6.01,2.48
Srednekolymsk,100,RU,1584113507,95,67.45,153.68,-18.67,10.67
Kenai,1,US,1584113265,76,60.55,-151.26,10.0,3.36
Mahon,70,ES,1584113507,72,39.89,4.27,60.8,19.46
Punta Arenas,66,CL,1584113608,57,-53.15,-70.92,51.8,10.29
Mahajanga,20,MG,1584113507,66,-15.72,46.32,86.0,6.93
Te Anau,9,NZ,1584112915,81,-45.42,167.72,48.65,5.99
Vaini,90,TO,1584113191,94,-21.2,-175.2,78.8,6.93
Carnarvon,90,AU,1584113099,83,-24.87,113.63,78.8,5.82
Dzhebariki-Khaya,0,RU,1584113508,92,62.22,135.8,-25.51,1.05
Marathon,90,US,1584113508,58,44.9,-89.77,33.8,20.8
Narsaq,75,GL,1584113209,44,60.92,-46.05,21.2,1.12
São João da Barra,75,BR,1584112757,66,-21.64,-41.05,86.0,6.93
Ambilobe,100,MG,1584113610,90,-13.2,49.05,79.25,5.46
Cabo San Lucas,75,MX,1584113348,83,22.89,-109.91,71.01,3.36
Iqaluit,75,CA,1584113447,69,63.75,-68.51,-9.0,2.42
Saint-Félicien,90,CA,1584113509,92,48.65,-72.45,26.01,17.22
Barrow,90,US,1584113406,92,71.29,-156.79,26.6,41.38
Tiksi,0,RU,1584113226,93,71.69,128.87,-26.23,1.63
Alanya,75,TR,1584113510,88,36.54,32.0,62.6,8.05
Caconda,100,AO,1584113510,84,-13.73,15.07,72.05,1.57
Saint George,90,US,1584112819,93,37.1,-113.58,45.0,9.17
Hasaki,75,JP,1584113611,75,35.73,140.83,50.0,4.7
Gulmarg,36,IN,1584113510,75,34.05,74.39,31.55,3.0
Saint Paul Harbor,1,US,1584113012,78,57.79,-152.41,15.8,5.82
Quatre Cocos,75,MU,1584113510,100,-20.21,57.76,73.4,22.32
Pak Phanang,100,TH,1584113510,80,8.35,100.2,78.89,1.57
Kirakira,99,SB,1584113511,83,-10.45,161.92,78.17,6.4
Vardø,20,NO,1584113511,66,70.37,31.11,14.0,17.22
Qaanaaq,0,GL,1584113511,45,77.48,-69.36,-21.55,2.93
Weligama,12,LK,1584113511,79,5.97,80.42,78.71,6.76
Kaputa,100,ZM,1584113511,91,-8.47,29.66,68.45,4.47
Ketchikan,1,US,1584113015,42,55.34,-131.65,30.2,11.41
Diamantino,1,BR,1584113512,61,-14.41,-56.45,87.53,4.99
Inta,98,RU,1584113219,93,66.03,60.17,32.81,21.61
Alofi,90,NU,1584113186,88,-19.06,-169.92,80.6,3.36
Arrecife,20,ES,1584113512,60,28.96,-13.55,69.8,18.34
Geraldton,90,AU,1584113256,31,-28.77,114.6,87.8,18.34
Goulburn,49,AU,1584113512,89,-34.75,149.72,64.99,4.81
Ust'-Kulom,100,RU,1584113512,98,61.69,53.69,32.99,10.6
Port Elizabeth,43,ZA,1584113614,76,-33.92,25.57,73.31,8.21
Cabra,88,ES,1584113513,49,37.47,-4.44,77.0,8.05
New Norfolk,0,AU,1584113614,57,-42.78,147.06,48.2,10.29
Bilma,0,NE,1584113513,11,18.69,12.92,79.79,5.68
Saint-Philippe,40,RE,1584113185,74,-21.36,55.77,80.6,17.22
Arrondissement de Sedan,75,FR,1584113513,61,49.67,5.0,48.0,18.34
Altamira,31,BR,1584113514,54,-3.2,-52.21,89.33,4.61
Pamanukan,100,ID,1584113514,85,-6.28,107.81,78.35,1.92
Harbour Breton,0,CA,1584113514,58,47.48,-55.8,25.25,8.28
Constitución,55,CL,1584113616,69,-35.33,-72.42,67.55,8.28
Ena,88,JP,1584113514,66,35.45,137.41,36.77,2.86
Tuatapere,14,NZ,1584113024,91,-46.13,167.68,51.01,1.01
Qasigiannguit,75,GL,1584113616,65,68.82,-51.19,5.0,18.34
Chui,0,UY,1584113616,45,-33.7,-53.46,84.47,8.3
Okhotsk,100,RU,1584113516,94,59.38,143.3,1.13,3.91
Timrå,100,SE,1584113038,31,62.49,17.33,33.8,12.75
Paamiut,100,GL,1584113057,61,61.99,-49.67,13.01,10.65
Lorengau,0,PG,1584113234,77,-2.02,147.27,84.11,13.53
Swan River,99,CA,1584113249,85,52.11,-101.27,1.67,10.94
Fort Nelson,40,CA,1584113028,75,58.81,-122.7,-18.4,3.36
Nālūt,55,LY,1584113517,14,30.33,10.85,72.77,1.63
Kumul,0,CN,1584113517,25,42.8,93.45,37.49,4.41
Touros,75,BR,1584113618,83,-5.2,-35.46,78.8,3.36
Saldanha,7,ZA,1584113208,50,-33.01,17.94,77.0,9.17
Varkala,20,IN,1584113231,66,8.73,76.71,86.0,5.82
San Antonio Huista,0,GT,1584113517,48,15.65,-91.77,72.41,2.95
Porto de Moz,74,BR,1584113517,60,-1.75,-52.24,88.25,5.44
Exeter,20,GB,1584113270,71,50.72,-3.53,51.01,10.29
Camacha,40,PT,1584113518,63,33.08,-16.33,64.4,17.22
Ribeira Grande,20,PT,1584113618,68,38.52,-28.7,64.4,8.05
Tak Bai,20,TH,1584113518,83,6.26,102.05,82.4,8.05
Galle,3,LK,1584113518,74,6.04,80.22,83.21,10.67
Lexington,1,US,1584113386,57,37.99,-84.48,51.8,11.41
Esmeralda,40,CU,1584113519,69,21.85,-78.12,78.8,10.29
Ilulissat,75,GL,1584113409,65,69.22,-51.1,5.0,18.34
Pirgos,20,GR,1584113519,52,35.12,25.72,69.01,17.22
Valente,100,BR,1584113519,59,-11.41,-39.46,84.29,7.78
Itoman,75,JP,1584113519,93,26.12,127.67,64.4,3.36
Mayo,40,US,1584113620,72,38.89,-76.51,68.0,8.05
Sehnde,75,DE,1584113520,75,52.31,9.97,48.2,18.34
Kinablangan,70,PH,1584113520,90,7.69,126.55,70.61,4.85
Provideniya,100,RU,1584113192,97,64.38,-173.3,27.05,20.49
Petukhovo,100,RU,1584113520,88,55.07,67.9,32.81,14.83
Xichang,11,CN,1584113058,92,27.9,102.26,37.85,7.45
Wellington,48,NZ,1584113228,87,-41.29,174.78,51.8,3.36
Laguna,1,US,1584113521,81,38.42,-121.42,54.0,9.17
Esperance,100,AU,1584113521,82,-33.87,121.9,62.6,11.41
Longyearbyen,75,SJ,1584113621,76,78.22,15.64,-5.8,8.05
Coolum Beach,4,AU,1584113521,88,-26.53,153.1,66.0,3.0
Flin Flon,75,CA,1584113051,70,54.77,-101.86,-0.4,14.99
East London,20,ZA,1584113622,69,-33.02,27.91,80.6,6.93
Walvis Bay,0,NA,1584113045,44,-22.96,14.51,80.6,16.11
San Patricio,90,MX,1584113034,74,19.22,-104.7,80.6,7.4
Maragogi,34,BR,1584113270,69,-9.01,-35.22,82.13,10.33
Sinnamary,37,GF,1584113622,74,5.38,-52.95,80.33,15.41
Mahibadhoo,0,MV,1584113523,76,3.78,72.97,83.57,14.41
Sur,30,OM,1584113523,54,22.57,59.53,68.99,4.76
Gazli,65,UZ,1584113523,33,40.13,63.45,61.61,7.14
Rawson,88,AR,1584113049,61,-43.3,-65.1,67.01,7.34
Trelew,69,AR,1584113248,27,-43.25,-65.31,76.55,7.18
Vega de Alatorre,0,MX,1584113524,76,20.03,-96.63,74.57,3.36
Igrim,12,RU,1584113229,79,63.19,64.42,34.79,12.24
Panjakent,100,TJ,1584113524,54,39.5,67.61,57.2,4.7
Olafsvik,100,IS,1584113524,73,64.89,-23.71,28.85,20.02
Paraná,0,AR,1584113524,26,-31.73,-60.52,99.23,12.68
Yeppoon,13,AU,1584113227,68,-23.13,150.73,71.6,5.82
Torbat-e Jām,21,IR,1584113525,29,35.24,60.62,57.83,4.59
Gangtok,94,IN,1584113525,69,27.33,88.62,48.11,4.29
Aquiraz,75,BR,1584113525,83,-3.9,-38.39,80.6,10.29
Junnar,63,IN,1584113525,28,19.2,73.88,69.35,7.25
Ancud,75,CL,1584113525,93,-41.87,-73.82,51.8,6.93
Mount Gambier,40,AU,1584113048,62,-37.83,140.77,51.8,10.29
Atherton,40,GB,1584113526,50,53.52,-2.49,52.0,2.24
Lagoa,0,PT,1584113526,67,39.05,-27.98,59.99,7.27
Sittwe,0,MM,1584113526,74,20.15,92.9,78.53,11.25
Ishigaki,0,JP,1584113245,84,24.34,124.16,71.51,12.19
Kismayo,100,SO,1584113526,80,-0.36,42.55,83.57,18.52
Portland,90,US,1584113366,69,45.52,-122.68,39.2,3.31
Berlevåg,75,NO,1584113072,56,70.86,29.09,15.8,13.87
Brandon,1,US,1584113245,65,27.94,-82.29,80.01,4.21
Glendive,1,US,1584113527,79,47.11,-104.71,23.0,10.29
Gorin,0,RU,1584113527,75,51.2,136.67,6.89,2.46
Satipo,0,PE,1584113527,63,-11.25,-74.64,74.39,3.96
Lata,20,PT,1584113627,67,40.16,-8.33,66.99,14.99
Lucapa,18,AO,1584113528,84,-8.42,20.74,77.45,5.06
Santa Cruz de Tenerife,20,ES,1584113528,67,28.47,-16.25,71.01,12.75
Nerchinskiy Zavod,92,RU,1584113528,85,51.31,119.61,11.03,4.74
Atuona,95,PF,1584113108,68,-9.8,-139.03,81.77,11.5
Prainha,9,BR,1584113528,47,-1.8,-53.48,92.39,5.57
Nyagan,24,RU,1584113528,86,62.14,65.39,34.61,11.86
Mawana,0,IN,1584113528,69,29.1,77.92,65.39,6.53
Muroto-misakicho,53,JP,1584113529,89,33.28,134.15,48.29,4.0
Baruun-Urt,5,MN,1584113529,86,46.68,113.28,13.73,9.64
Vila do Maio,0,CV,1584113529,11,15.13,-23.22,91.4,20.8
Bundaberg,50,AU,1584113529,88,-24.85,152.35,68.0,10.29
Namatanai,82,PG,1584113628,79,-3.67,152.43,83.03,16.35
Bodden Town,20,KY,1584113530,78,19.28,-81.25,82.4,17.22
Meulaboh,4,ID,1584113628,70,4.14,96.13,85.37,3.85
Evensk,80,RU,1584113250,91,61.95,159.23,-8.41,4.36
Leningradskiy,100,RU,1584113629,71,69.38,178.42,24.53,16.11
Ambon City,40,ID,1584113498,83,-3.7,128.18,80.6,2.24
Yagodnoye,100,RU,1584113530,100,62.55,149.67,-12.73,1.66
Qui Nhon,4,VN,1584113588,95,13.77,109.23,71.51,0.81
Palmer,90,US,1584113501,87,42.16,-72.33,55.99,15.86
Hājīganj,0,BD,1584113531,38,23.25,90.86,80.15,8.32
Airai,40,TL,1584113207,81,-8.93,125.41,64.31,2.55
Viranşehir,100,TR,1584113531,81,37.24,39.76,56.75,18.25
Praia,0,CV,1584113047,11,14.92,-23.51,91.4,20.8
Bhuj,0,IN,1584113532,31,23.27,69.67,73.85,10.18
Inuvik,90,CA,1584113532,66,68.35,-133.72,10.4,4.7
Nabire,98,ID,1584113532,98,-3.37,135.48,73.49,1.97
Coyhaique,75,CL,1584113102,87,-45.58,-72.07,57.2,4.43
Towada,40,JP,1584113532,63,40.61,141.21,33.01,10.29
Khani,90,GE,1584113532,45,41.96,42.96,66.2,28.86
Kununurra,40,AU,1584113049,74,-15.77,128.73,82.4,4.7
Ballina,40,AU,1584113249,77,-28.87,153.57,64.4,6.93
Nemuro,0,JP,1584113238,57,43.32,145.57,29.21,13.65
Vao,100,NC,1584113533,80,-22.67,167.48,81.41,13.18
San Quintín,0,MX,1584113235,79,30.48,-115.95,59.09,7.61
Saint-Augustin,0,CA,1584113533,77,51.23,-58.65,9.95,9.1
Cootamundra,63,AU,1584113533,90,-34.65,148.03,63.0,5.73
Severo-Kuril'sk,100,RU,1584113534,98,50.68,156.12,29.57,30.47
Rognan,40,NO,1584113534,73,67.1,15.39,25.0,19.46
Bengkulu,100,ID,1584113632,88,-3.8,102.27,76.55,3.11
Karratha,0,AU,1584113534,73,-20.74,116.85,83.03,12.19
High Prairie,92,CA,1584113534,91,55.43,-116.49,-11.83,6.64
Iskitim,29,RU,1584113534,50,54.64,83.3,28.4,6.71
Hobyo,43,SO,1584113535,71,5.35,48.53,81.41,17.67
Auriflama,0,BR,1584113535,61,-20.69,-50.55,84.83,7.4
Voyvozh,100,RU,1584113535,97,62.89,54.96,32.45,8.52
Sturgis,75,US,1584113535,48,41.8,-85.42,41.0,17.22
Cabinda,20,AO,1584113535,63,-5.55,12.2,91.4,9.17
Pangody,100,RU,1584113536,99,65.85,74.49,34.43,19.3
Bowen,63,AU,1584113081,73,-20.02,148.23,75.99,6.93
Naze,75,JP,1584113536,100,28.37,129.48,62.6,3.36
Vilyuysk,95,RU,1584113536,95,63.76,121.62,-7.15,7.58
Tezu,75,IN,1584113634,50,27.92,96.17,68.09,4.16
Lompoc,90,US,1584113010,93,34.64,-120.46,55.4,5.17
Jijiga,32,ET,1584113537,45,9.35,42.8,75.29,16.87
Koster,27,ZA,1584113537,41,-25.86,26.9,73.85,7.47
Tuktoyaktuk,90,CA,1584113223,84,69.45,-133.04,3.2,21.92
Port Hedland,0,AU,1584113634,83,-20.32,118.57,80.6,8.05
Domoni,63,KM,1584113537,70,-12.26,44.53,85.91,6.93
Garissa,100,KE,1584113058,44,-0.45,39.64,91.49,6.22
Uglich,100,RU,1584113538,71,57.53,38.33,37.85,18.48
Ust-Tsilma,93,RU,1584113035,94,65.44,52.15,32.45,5.73
Bubaque,0,GW,1584113635,53,11.28,-15.83,83.75,10.22
Nikolskoye,90,RU,1584113538,75,59.7,30.79,36.0,17.9
Nha Trang,20,VN,1584113539,78,12.25,109.18,80.6,2.24
Pacific Grove,90,US,1584113340,76,36.62,-121.92,55.99,6.93
Tshikapa,23,CD,1584113539,84,-6.42,20.8,80.87,2.66
Mwinilunga,73,ZM,1584113539,90,-11.74,24.43,72.95,4.68
Padang,61,ID,1584113540,96,-0.95,100.35,70.25,3.09
Nyuksenitsa,100,RU,1584113540,98,60.41,44.24,32.63,8.01
Bethel,90,US,1584113636,93,41.37,-73.41,55.99,11.03
Svetlaya,0,RU,1584113540,54,46.54,138.33,21.65,10.09
Terrace,75,CA,1584113540,53,54.52,-128.6,24.8,14.99
Korla,2,CN,1584113048,66,41.76,86.15,39.99,1.99
Comodoro Rivadavia,40,AR,1584112775,44,-45.87,-67.5,75.2,9.17
Gomel,82,BY,1584113541,42,52.43,30.98,48.2,13.42
Nyurba,26,RU,1584113044,94,63.28,118.33,-15.25,6.6
Charters Towers,12,AU,1584113541,77,-20.1,146.27,69.89,7.56
Lincoln,90,US,1584113401,74,40.8,-96.67,39.0,4.38
Fortuna,1,US,1584113066,100,40.6,-124.16,39.99,4.7
Dāhānu,58,IN,1584113541,53,19.97,72.73,75.11,18.1
St. George's,40,GD,1584113498,74,12.06,-61.75,82.4,17.22
Kasongo,72,CD,1584113542,92,-4.45,26.67,73.13,4.97
São Miguel do Araguaia,28,BR,1584113044,81,-13.28,-50.16,85.37,1.28
Ternate,100,ID,1584113235,87,0.8,127.4,73.85,3.29
Deputatsky,0,RU,1584113639,70,69.3,139.9,-23.53,3.38
Tatvan,100,TR,1584113542,79,38.51,42.28,38.93,3.98
Mareeba,40,AU,1584113542,83,-17.0,145.43,78.8,2.24
Tilichiki,1,RU,1584113542,83,60.47,166.1,1.49,2.24
Bor,75,RU,1584113639,65,56.36,44.07,41.0,17.9
Fairbanks,90,US,1584113058,84,64.84,-147.72,6.01,2.84
Aksu,26,CN,1584113543,26,41.12,80.26,45.05,4.76
Guerrero Negro,0,MX,1584113640,80,27.98,-114.06,59.81,3.18
Roela,100,EE,1584113543,73,59.17,26.59,35.15,12.75
Machacamarca,40,BO,1584113543,51,-18.17,-67.03,60.8,9.17
Kondinskoye,60,RU,1584113544,91,59.65,67.41,35.15,14.85
Krasnyy Chikoy,89,RU,1584113544,95,50.36,108.75,17.69,6.08
Nantucket,90,US,1584112894,93,41.28,-70.1,50.0,20.8
Isangel,100,VU,1584113544,80,-19.55,169.27,79.97,7.99
São Filipe,0,CV,1584113641,54,14.9,-24.5,77.63,15.23
Mandan,1,US,1584113641,79,46.83,-100.89,23.0,12.75
Santa Cruz de la Sierra,75,BO,1584112783,44,-17.8,-63.17,95.0,9.17
Klaksvík,100,FO,1584113641,65,62.23,-6.59,41.0,19.46
Laurel,75,US,1584113344,87,39.1,-76.85,66.0,12.75
Msowero,75,TZ,1584113545,74,-6.53,37.2,84.2,5.82
Upernavik,100,GL,1584113228,94,72.79,-56.15,-11.47,4.27
Zhigansk,64,RU,1584113238,100,66.77,123.37,-12.01,2.48
Gravdal,75,NO,1584113260,67,68.12,13.5,24.8,19.46
Amga,100,RU,1584113241,94,60.9,131.96,-6.43,2.28
Mae Hong Son,0,TH,1584113545,25,19.3,97.97,74.03,1.74
Shëngjin,0,AL,1584113546,45,41.81,19.59,71.6,8.05
Almenara,83,BR,1584113546,85,-16.18,-40.69,77.63,3.53
Osypenko,2,UA,1584113546,58,46.91,36.83,53.87,10.25
Steamboat Springs,90,US,1584113509,92,40.48,-106.83,32.0,5.82
Port Blair,14,IN,1584113055,68,11.67,92.75,81.77,8.28
Codrington,0,AU,1584113195,65,-38.27,141.97,56.21,20.76
Borovoy,0,RU,1584113643,46,55.43,86.08,30.2,4.47
Coquimbo,90,CL,1584113547,82,-29.95,-71.34,64.4,5.82
Philadelphia,90,US,1584113318,87,39.95,-75.16,61.0,11.41
Ambatondrazaka,100,MG,1584113547,81,-17.83,48.42,68.09,10.45
Nangong,0,CN,1584113547,30,37.36,115.37,45.95,10.45
Contamana,1,PE,1584113644,37,-7.33,-75.02,98.15,1.23
Yar-Sale,100,RU,1584113644,98,66.83,70.83,34.07,22.75
Saquarema,40,BR,1584113548,70,-22.92,-42.51,84.2,12.75
Panguna,63,PG,1584113548,97,-6.32,155.48,70.79,4.59
Emba,100,KZ,1584113548,99,48.83,58.14,36.23,5.77
Bow Island,90,CA,1584113548,66,49.87,-111.37,15.01,16.11
Maniitsoq,88,GL,1584113644,73,65.42,-52.9,9.41,1.01
Bosaso,99,SO,1584113548,78,11.28,49.18,78.8,27.51
Mehamn,75,NO,1584113645,56,71.04,27.85,15.8,13.87
Dunedin,30,NZ,1584113405,87,-45.87,170.5,51.01,4.88
Upata,94,VE,1584113549,43,8.01,-62.4,89.15,6.51
Kuril'sk,47,RU,1584113549,75,45.23,147.88,23.81,23.51
Sola,100,VU,1584113088,82,-13.88,167.55,83.21,22.97
Darhan,83,MN,1584113549,83,49.49,105.92,15.53,7.18
Sterling,75,US,1584113549,77,39.01,-77.43,69.01,8.05
Alice Springs,0,AU,1584113089,41,-23.7,133.88,78.8,5.82
Raudeberg,40,NO,1584113550,59,61.99,5.14,32.0,5.82
Pitimbu,75,BR,1584113082,79,-7.47,-34.81,84.2,4.7
Marihatag,1,PH,1584113550,73,8.79,126.3,81.05,9.04
Chengzhong,74,CN,1584113550,87,30.95,113.55,48.2,4.47
Bandarbeyla,35,SO,1584113550,80,9.49,50.81,79.43,19.69
Kathu,20,TH,1584113550,78,7.92,98.33,82.4,2.24
Dombarovskiy,100,RU,1584113551,99,50.76,59.54,35.33,8.86
Guînes,40,FR,1584113551,71,50.87,1.87,52.0,12.75
Tambovka,81,RU,1584113551,78,50.1,128.05,10.4,4.47
La Romana,40,DO,1584113647,74,18.43,-68.97,82.4,12.75
Monastyrshchina,89,RU,1584113551,66,54.35,31.84,41.09,16.78
Bambanglipuro,100,ID,1584113253,91,-7.95,110.28,76.37,4.07
Dzilam González,0,MX,1584113552,72,21.28,-88.93,74.93,13.18
Brigantine,90,US,1584113552,93,39.41,-74.36,62.01,9.17
Kyra,0,RU,1584113648,81,49.58,111.98,14.09,8.72
Kołobrzeg,76,PL,1584113552,92,54.18,15.58,42.01,26.75
Tadine,70,NC,1584113552,81,-21.55,167.88,77.99,5.86
Palora,20,EC,1584113552,51,-1.7,-77.93,86.0,6.93
Kaeo,24,NZ,1584113552,86,-35.1,173.78,61.0,8.01
Sosnovo-Ozerskoye,1,RU,1584113239,89,52.52,111.54,14.81,12.12
Lixouri,0,GR,1584113553,56,38.2,20.43,73.4,12.75
Stargard,90,PL,1584113553,87,53.34,15.05,46.0,23.04
Karasjok,0,NO,1584113342,44,69.47,25.51,17.6,21.92
La Ronge,20,CA,1584113264,69,55.1,-105.28,-7.6,12.75
Waipawa,37,NZ,1584112758,87,-41.41,175.52,51.8,3.36
Okitipupa,100,NG,1584113554,73,6.5,4.78,86.45,3.65
Mount Isa,0,AU,1584113650,34,-20.73,139.5,78.8,6.93
Marsá Maţrūḩ,100,EG,1584113052,82,31.35,27.25,62.15,25.03
Koryazhma,100,RU,1584113554,98,61.31,47.17,32.63,4.05
Pauini,100,BR,1584113554,76,-7.71,-66.98,86.09,1.34
Misawa,40,JP,1584113554,63,40.68,141.36,33.01,10.29
Zyryanka,100,RU,1584113555,86,65.75,150.85,-23.53,4.23
Lavrentiya,100,RU,1584113555,92,65.58,-171.0,28.13,29.1
Segezha,100,RU,1584113082,97,63.74,34.32,32.99,8.21
Bilibino,100,RU,1584113555,99,68.05,166.44,-11.65,4.05
Gorontalo,88,ID,1584113083,86,0.54,123.06,73.49,4.47
Caravelas,100,BR,1584113652,71,-17.71,-39.25,80.69,5.46
Tiarei,25,PF,1584113556,83,-17.53,-149.33,77.0,4.7
Udachny,89,RU,1584113652,75,66.42,112.4,-14.8,4.47
Kruisfontein,72,ZA,1584113426,71,-34.0,24.73,73.31,5.14
Nuuk,75,GL,1584113083,72,64.18,-51.72,17.6,16.11
Phulbāni,4,IN,1584113557,51,20.47,84.23,77.99,3.15
Cidreira,0,BR,1584113498,71,-30.18,-50.21,78.53,12.5
Haines Junction,0,CA,1584113089,81,60.75,-137.51,-10.21,2.84
Verkhnyaya Inta,97,RU,1584113557,88,65.98,60.31,32.27,18.45
Knysna,75,ZA,1584113558,88,-34.04,23.05,68.0,2.24
Iskateley,78,RU,1584113558,96,67.68,53.15,23.09,5.59
Srandakan,100,ID,1584113558,91,-7.94,110.25,76.37,4.07
Ponta Porã,40,BR,1584113558,41,-22.54,-55.73,91.4,11.41
Merritt,90,CA,1584113558,94,50.11,-120.79,32.0,8.05
Maningrida,47,AU,1584113053,76,-12.07,134.27,85.55,15.32
Basavakalyan,64,IN,1584113559,33,17.87,76.95,84.65,5.68
Aklavik,90,CA,1584113559,77,68.22,-135.01,10.4,2.24
Jasper,90,US,1584113560,60,37.2,-94.35,45.0,10.29
Dera Ghazi Khan,0,PK,1584113561,44,30.06,70.63,63.05,5.68
